EventId,EventTemplate,Occurrences
614d755e,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=2b000002 down <*> canceled false,14
4f0e8a73,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
8d7445f8,resumeSuspendedAutohide,10
eeec1449,querySoundEffectsEnabled...,17
86d02085,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
b0ff58e2,Bad activity token: android.os.BinderProxy@2bd79ce,1
4b0857ec,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
39397668,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",2
ade15b9a,schedulePeek,1
33c7b245,getRingtonePlayer...,2
095d7dbe,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >,6
3595b144,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == <*>",6
942f09c2,"updateLightsLocked,turn off notificationLight",6
adabee7c,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():-<*>",13
ab5ae1b3,"state.clipTopAmount:<*>, i:<*>",13
f02115d0,onExpandingStarted,2
cd7563b4,onTrackingStarted,1
033c96ee,Destroying surface <*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.removeLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindow:<*>,14
522cc439,cancelPeek: false,20
37dc4215,"flingToHeight: vel=<*>.<*>, <*> target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",2
263f405d,onTrackingStopped: true,1
b5721111,onExpandingFinished,2
9139f39e,Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system <*>:com.android.systemui/u0a37 pkg com.android.systemui,2
8cf89ab7,logNotificationVisibilityChanges runInThread <*>,12
fbd5de68,onNotificationVisibilityChanged called,6
6ed37c98,isSimPinSecure mSimDatas is null or empty,1
2f983de0,registerCallback not in UI.,3
28509391,android.util.AndroidRuntimeException: Must execute in UI,3
955993f6,*** <*> callback for <*>,3
23051d9f,[PhoneIntfMgr] getDataEnabled: subId=<*> <*>,2
ebb9f902,"onInterceptTouchEvent MotionEvent { <*> actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=0x0, edgeFlags=0x0, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x1002 }, mBlockTouches=false",4
db28c715,playSoundEffect effectType: <*>,10
2f355ac4,"animateCollapsePanels:flags=<*>, <*> <*> mExpandedVisible=true",3
a8644ede,START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=0x14000000 cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid <*> on display <*>,1
6157e0b1,ActivityRecord info: <*> <*> euid: <*>,4
06c4f169,onNotificationClick called,2
ef908799,"cancelNotification,index:<*>",3
beda30e4,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
8a999a7a,"cancelNotificationLocked called,tell the app,reason = <*>",2
1f8fd5d4,cancelNotificationLocked:<*>|com.tencent.mobileqq|<*>|null|<*>,2
0dbecfbf,"cancelNotificationLocked,remove =com.tencent.mobileqq",2
236d8210,applyOptionsLocked: Unknown animationType=<*>,2
9c3cf8da,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[false], rot:[<*>]",4
43082f96,removeNotification:<*>|com.tencent.mobileqq|<*>|null|<*>,2
d94e53a6,"updateNotificationShade: total=<*>, active=<*>",13
e330da66,The change in focus caused us to need to do a layout <*>,12
b4f3261c,setLightsOn(true),181
99e75217,removeNotificationChildren,12
8981991b,"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[<*>,<*>][<*>,<*>] }",14
effb37ae,"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }",14
a05b66fd,"Skipping, withExcluded: false, tr.intent:Intent { <*> <*> (has extras) }",21
4b5f9048,"Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7
a56cc89a,"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/<*>/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }",7
de9aca52,getRecentTasks: <*>,28
73b3b979,"cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =com.tencent.mobileqq,id =<*>",20
31252fc1,"cancelNotification,index:-<*>",20
e075ddbf,makeExpandedInvisible: <*>,4
fbb3c9bb,closeQs,12
18084d2f,instantCollapse,9
fc6b3dda,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
a6b9ef39,isMusicActive...,12
041ebeaa,"Start dump, calling from : pid=<*>, uid=<*>",1
9e34a535,setWiredDeviceConnectionState type: <*> state: <*>,2
7e911563,"ActivityManagerService,attachApplication,callingPid = <*>",4
219ced65,isBluetoothA2dpOn...,1
ce34163a,isBluetoothScoOn...,1
ae38694d,getLastAudibleStreamVolume treamType: <*>,9
d9dee4cc,getDevicesForStream streamType: <*>,2
369d5eff,cleanUpApplicationRecord -- <*>,6
71d4237b,"cleanUpApplicationRecordLocked, pid: <*>, restart: false",6
f4cc530d,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
cb8e09e6,stopWifiDisplayScanLocked <*>,12
eadc277d,getMode...,1
f501a17e,setSpeakerphoneOn on: true,1
f9bf5b1a,setSpeakerphoneOn on:true,1
ac0fa351,"sending alarm <*> type <*> when <*> <*> <*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag <*>",5
b0fb9415,Received TIME_TICK alarm; rescheduling,3
215c579a,scheduleTimeTickEvent triggerAtTime = <*>,3
7233f052,received broadcast <*>,4
3e03b5e1,handleTimeUpdate,3
5168e36f,Killing <*>:com.android.calendar/u0a13 (adj <*>): empty for 1810s,1
754a5418,Unable to start service Intent { act=com.tencent.android.tpush.action.keepalive cmp=com.qqgame.hlddz/com.tencent.android.tpush.service.XGPushService } U=<*>: not found,1
13d3f523,unregisterAudioFocusListener...,1
504c331a,abandonAudioFocus,1
a4e9f81f,"[HSM] stayAwake false uid: <*>, pid: <*>",1
61648887,Pid:<*> MediaPlayer destructor,1
4e4ce786,Process com.tencent.mobileqq:qzone (pid <*>) has died,1
2fee145e,Scheduling restart of crashed service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService in 1000ms,1
53710bdb,"new Process app=ProcessRecord{6eaaf00 <*>:com.tencent.mobileqq:qzone/u0a111}, name: com.tencent.mobileqq:qzone, euid: <*>",1
2b043ebb,Start proc <*>:com.tencent.mobileqq:qzone/u0a111 for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService,1
6d6ce631,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false",5
6df4ec65,"notifyUiVisibilityChanged:vis=0xc0000700, SystemUiVisibility=0xc<*>",3
8e4002d1,enqueueNotificationInternal: pkg=com.tencent.mobileqq id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE),1
f2507745,enqueueNotificationInternal: n.getKey = <*>,2
99718fbd,getRingerMode...,3
e042e5ea,addNotification <*>,2
3a97dc6f,mHeadsUpExistenceChangedRunnable,4
a63645e4,Marking notification as seen <*>,2
36dc96c6,onNotificationExpansionChanged called,2
e4e963f1,"START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 <*> bnds=[<*>,<*>][<*>,<*>]} from uid <*> on display <*>",2
538c8f21,"ACTIVITY check resid: com.example.android.notepad, size=<*>",2
1ecb8dd4,getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq,3
96658704,getCellLocation is blocked by permission manager uid:<*> pid:<*>,1
d639dd08,isWiredHeadsetOn...,1
0c87ac07,"setDataSource(<*>, <*>, <*>)",1
fdd7deac,getStreamVolume treamType: <*>,1
b2a3188b,"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1
f1cf316c,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
f9e8e96e,updateChargingLocked: charging=false,1
3783336f,"onReceive, action:android.intent.action.BATTERY_CHANGED",1
5185f06d,ACTION_BATTERY_CHANGED pluggedType: <*>,1
f790bcce,ApStaDisabledState what=<*>,1
96d275e9,DefaultState what=<*>,1
f360e1f9,battery changed pluggedType: <*>,1
1d75714a,RefreshBatteryInfo isBatteryLow: <*>,2
c9c0695e,ChargingSpeed Wattage: <*> ST: <*> --> <*>,1
e23c2601,handleBatteryUpdate,1
221c2580,enqueueNotificationInternal: pkg=com.tencent.mm id=<*> notification=Notification(pri=<*> contentView=null vibrate=[] sound=null tick defaults=0x0 flags=0x101 color=0x00000000 category=msg vis=PRIVATE),1
7cea1f47,START u0 {flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras)} from uid <*> on display <*>,1
bca61fe5,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras) },1
