LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
12,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",083f8cc2,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: <*>[HRESULT = <*>- E_FAIL]","['0x2 ', '0x80004005 ']"
13,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],2a6f127b,SQM: Failed to start standard sample upload. [HRESULT = <*>- E_FAIL],['0x80004005 ']
14,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",500cb726,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",[]
15,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],d13705e4,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>- E_FAIL],['0x80004005 ']
16,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",6342ae85,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",[]
17,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,b756d24a,NonStart: Checking to ensure startup processing was not required.,[]
18,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",82206fcd,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = <*>",['@0xb6fd90']
19,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",af6dad2f,"<*> Creating NT transaction (seq <*> objectname [6]""(null)""","['00000005', '1),']"
20,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",f25447d7,00000006 Created NT transaction (seq 1) result <*>handle <*>,"['0x00000000, ', '@0x214']"
21,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,0d5fb9ff,<*> CSI perf trace:,['00000007@2016/9/27:20:30:31.462']
22,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.",c7e0e082,"NonStart: Success, startup processing not required as expected.",[]
23,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,0249909f,Startup processing thread terminated normally,[]
24,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,55bc08e8,00000008 CSI Store 4991456 (<*>initialized,['0x00000000004c29e0) ']
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,08fb5d73,Session: <*> initialized by client WindowsUpdateAgent.,['30546173_4261722401']
26,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,08fb5d73,Session: <*> initialized by client WindowsUpdateAgent.,['30546173_4262462443']
27,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
28,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
29,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
30,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
31,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
32,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
33,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
34,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
35,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
36,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
37,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
38,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
40,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
41,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
42,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
43,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
44,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
45,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
46,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
47,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
48,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
49,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
50,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
51,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
53,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
54,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
55,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
56,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
57,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
58,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
59,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
60,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
61,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
62,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
63,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
64,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
65,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
66,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
67,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
68,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
69,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
70,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
71,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
72,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
73,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
74,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
75,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
76,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
77,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
78,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
79,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
80,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
81,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
82,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
83,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
84,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
85,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
86,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
87,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
88,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
89,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
90,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
92,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
93,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
94,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
95,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
96,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
97,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
98,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
99,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
100,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
101,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
102,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
103,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
104,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
105,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
106,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
107,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
108,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
109,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
110,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
111,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
112,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
113,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
114,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
115,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
116,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
117,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
118,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
119,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
120,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
121,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
122,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
123,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
124,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
125,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
126,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
127,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c8,Warning: Unrecognized packageExtended attribute.,[]
128,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
129,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],['0x800f080d ']
