EventId,EventTemplate,Occurrences
a8c83a0b,DHCPREQUEST for <*> (<*>) from 00:11:43:32:c6:8c via eth1,1
ba12f384,Lustre: <*> maximum lustre stack <*>,2
5f978615,Lustre: Echo OBD driver; #10#@#11#,1
2dcd7354,"Lustre: OBD class driver Build Version: #12#-19691231170000-PRISTINE-.f3home.#13#.build.2.6.buildir.BUILD.lustre-kernel-2.6.9.lustre.linux-2.6.9-<*>smp, #10#@#11#",1
0c2a1a09,"Lustre: Routing socket NAL loaded (Routing disabled, initial mem 0, incarnation 0x40525da327a8c)",1
41a5cc7f,"started, listening on port 988",1
ccb7dd5b,Switching to runlevel: 6,1
4a5fdb52,shutting down for system reboot,1
f787d565,"Caught signal 15, un-registering and exiting.",1
93f51c44,Shutting down NFS services: succeeded,1
de121c07,nfsd shutdown succeeded,1
50df89a1,last server has exited,1
a31a2a01,unexporting all filesystems,1
960980ea,sshd -TERM succeeded,1
7d779975,Received signal 15; terminating.,1
6ad4d497,Stopping MySQL: succeeded,1
b2276ca1,Unmounting NFS filesystems: succeeded,1
695d8251,ntpd exiting on signal 15,1
ae5be743,xinetd shutdown succeeded,1
b05754fa,Exiting...,1
d7763055,irqbalance startup succeeded,1
6be61616,Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,1
0ec1a17a,"DMA zone: 4096 pages, LIFO batch:1",1
20fb0ff0,"HighMem zone: 0 pages, LIFO batch:1",1
0787efdf,"Normal zone: 1830912 pages, LIFO batch:16",1
c6d4f2aa,Type: <*> ANSI SCSI revision: 02,2
2a1f7496,Vendor: MegaRAID Model: LD 0 RAID0 69G Rev: 521S,1
499954af,Vendor: PE/PV Model: 1x2 SCSI BP Rev: 1.0,1
6dc36b09,BIOS-e820: <*> - <*> (usable),3
90aa7ad8,BIOS-e820: 00000000bffc0000 - 00000000bffcfc00 (ACPI data),1
0f5f997d,BIOS-e820: <*> - <*> (reserved),5
dc008d73,RHH kernel module initialized successfully,1
503eca1e,THH kernel module initialized successfully,1
5f59c0fe,sda: sda1 sda2 sda3 sda4 < sda5 sda6 >,1
61080331,- Added public key EA232A604969C61D,1
58568c1a,"- User ID: Red Hat, Inc. (Kernel Module GPG key)",1
b218fa4c,ACPI wakeup devices:,1
da8564c1,ACPI: (supports S0 S4 S5),1
bf9c9e27,ACPI: <*> (v001 DELL PE BKC 0x00000001 MSFT <*> @ <*>,7
d0865902,ACPI: HPET id: 0xffffffff base: 0xfed00000,1
ad416b7e,ACPI: INT_SRC_OVR (bus 0 bus_irq <*> global_irq <*> <*> <*>,2
75f656ce,ACPI: IOAPIC (id[0x07] address[0xfec00000] gsi_base[0]),1
cc35216a,ACPI: IOAPIC (id[0x08] address[0xfec80000] gsi_base[32]),1
80d90f3c,ACPI: IOAPIC (id[0x09] address[0xfec83000] gsi_base[64]),1
87cf408f,ACPI: <*> used by override.,3
3c9bd707,ACPI: Interpreter enabled,1
3d296a8d,ACPI: LAPIC <*> <*> enabled),2
45dd1947,ACPI: LAPIC <*> <*> disabled),2
27bab093,ACPI: LAPIC_NMI <*> high edge lint[0x1]),4
02f2aa8e,ACPI: Local APIC address 0xfee00000,1
0ccf363e,ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 7 10 11 12) <*>,2
0ba4f522,ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 <*> <*> <*> 12),3
7d45d9e0,"ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 7 10 11 12) *0, disabled.",3
b1ecff3c,ACPI: PCI Interrupt Routing Table <*>,10
a3516ae4,ACPI: PCI Root Bridge [PCI0] (00:00),1
0278a557,"ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",21
06825620,ACPI: Power Button (FF) [PWRF],1
8f43df13,ACPI: Processor <*> (supports C1),2
47b12e89,ACPI: RSDP (v000 DELL ) @ 0x00000000000fd650,1
4e856061,ACPI: Subsystem revision 20040816,1
aebadbc0,ACPI: Using IOAPIC for interrupt routing,1
22c3bef0,Adding 13309844k swap on /dev/sda2. Priority:-1 extents:1,1
c3973a1c,"Attached scsi disk sda at scsi0, channel 1, id 0, lun 0",1
83fe54c5,"Attached scsi generic <*> at scsi0, channel <*> id <*> lun 0, type <*>",2
8c537990,BIOS-provided physical RAM map:,1
b5a729a6,"Bootdata ok (command line is ro root=LABEL=/ tsc console=tty0 console=ttyS0,19200 rhgb quiet)",1
192aac5d,Booting processor 1/6 rip 6000 rsp 100bff05f58,1
1ae86a34,Bootmem setup node 0 0000000000000000-00000001c0000000,1
679e773a,Brought up 2 CPUs,1
de6cd9cf,Built 1 zonelists,1
611fd889,CPU0: Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,1
a090a511,CPU: Hyper-Threading is disabled,3
6d58ac7e,CPU: L2 cache: 2048K,3
16103901,"CPU: Trace cache: 12K uops, L1 D cache: 16K",3
ad1472a3,Calibrating delay loop... <*> BogoMIPS <*>,2
7d2f04f5,Capability LSM initialized as secondary,1
cc2cb575,Checking aperture...,1
a5b547df,Console: colour VGA+ 80x25,1
52ef9387,Copyright (c) 1999-2004 Intel Corporation.,1
90cdab58,DMI 2.3 present.,1
4b704428,"Dentry cache hash table entries: 1048576 (order: 11, 8388608 bytes)",1
c80ed5cb,Detected 12.469 MHz APIC timer.,1
a6d3bd46,"Dquot-cache hash table entries: 512 (order 0, 4096 bytes)",1
c75567e3,EXT3 FS on <*> internal journal,4
f70a10ee,EXT3-fs: INFO: recovery required on readonly filesystem.,1
09cd9ade,EXT3-fs: mounted filesystem with ordered data mode.,4
bdb7ce49,EXT3-fs: recovery complete.,1
707f0b33,EXT3-fs: write access #15# be enabled during recovery.,1
0c90abe9,Faking a node at 0000000000000000-00000001c0000000,1
e6f56863,Freeing unused kernel memory: 188k freed,1
2862343b,"IA32 emulation $Id: sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",1
674962c9,"<*> apic_id <*> version 32, address <*> GSI <*>",3
73cefaed,"IP: routing cache hash table of 32768 buckets, 512Kbytes",1
1cf019dc,Initializing <*>,2
2b566107,Initializing Cryptographic API,1
3637fd61,Initializing IPsec netlink socket,1
e09e5f15,"Inode-cache hash table entries: 524288 (order: 10, 4194304 bytes)",1
8b89f160,Intel E7520/7320/7525 detected.<6>pci_hotplug: PCI Hot Plug PCI Core version: 0.5,1
d511cbda,Intel(R) PRO/1000 Network Driver - version 6.0.54-k2-NAPI,1
37138bb5,"Kernel command line: ro root=LABEL=/ tsc console=tty0 console=ttyS0,19200 rhgb quiet",1
e27b23bc,Linux agpgart interface v0.100 (c) Dave Jones,1
579bce35,Linux version 2.6.9-15.EL.rootsmp (#7#@#9#) (gcc version 3.4.3 20050227 (Red Hat 3.4.3-22.1)) #1 SMP Tue Aug 16 12:32:24 MDT 2005,1
634ae816,Loading keyring,1
a5916ac6,"Mellanox Tavor Device Driver is creating device ""InfiniHost0"" (domain=00, bus=08, devfn=00)",1
53f09487,"Memory: 6106088k/7340032k available (2076k kernel code, 0k reserved, 1278k data, 188k init)",1
688cd44e,"Mount-cache hash table entries: 256 (order: 0, 4096 bytes)",1
4af88f8f,NET: Registered protocol family <*>,5
1defbcf1,No NUMA configuration found,1
21e60650,No mptable found.,1
6dae5f8b,On node 0 totalpages: 1835008,1
8d630a2b,PCI-DMA: Using software bounce buffering for IO (SWIOTLB),1
f0a878f0,PCI0 PALO PBLO VPR0 PBHI PICH,1
f73595e3,PCI: Probing PCI hardware (bus 00),1
41ed2983,PCI: Setting latency timer of device <*> to 64,5
37f8edc2,PCI: Transparent bridge - 0000:00:1e.0,1
4aacee6a,PCI: Using ACPI for IRQ routing,1
657892af,PCI: Using MMCONFIG at e0000000,1
607eef3d,PCI: Using configuration type 1,1
e93849b7,PCI: cache line size of 128 is not supported by device 0000:00:1d.7,1
4ee6dac5,"PID hash table entries: 4096 (order: 12, 131072 bytes)",1
f04ce919,Placing software IO TLB between 0x7eb5000 - 0xbeb5000,1
204ba6f2,Probing IDE interface <*>,6
72c54591,Processor <*> 15:4 APIC version 16,2
b0ef9ace,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,1
25be35b6,Real Time Clock Driver v1.12,1
858fa528,SCSI device sda: 143114240 512-byte hdwr sectors (73274 MB),1
cecc13aa,SCSI subsystem initialized,1
ebb6db13,SELinux: Disabled at runtime.,1
158c34d8,SELinux: Initializing.,1
ee2ae22f,SELinux: <*> netfilter hooks,2
426f668c,SELinux: Starting in permissive mode,1
3c5e98a7,Security Scaffold v1.0.0 initialized,1
f3957b35,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",1
40014f29,Setting APIC routing to flat,1
892c3001,TCP: Hash tables configured (established 262144 bind 65536),1
e0661b3c,"There is already a security framework initialized, register_security failed.",1
98908df9,"Total HugeTLB memory allocated, 0",1
3440ef3f,Total of 2 processors activated (14303.23 BogoMIPS).,1
3684cf74,USB Universal Host Controller Interface driver v2.2,1
e171a347,Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,1
cd364792,Using ACPI (MADT) for SMP configuration information,1
11e22d59,Using IO APIC NMI watchdog,1
a3bd2f17,Using cfq io scheduler,1
7ccebfbe,Using local APIC timer interrupts.,1
4d73c3e7,VFS: Disk quotas dquot_6.5.1,1
4018d47d,Warning: <*> returned 0!,2
16165d8a,[KERNEL_IB][ib_mad_static_compute_base][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_static.c:132]Couldn't find a suitable network device; setting lid_base to 1,1
cb45fbbf,activating NMI Watchdog ... done.,1
b5337712,audit(1131538441.365:1): initialized,1
4b7e6959,audit: initializing netlink socket (disabled),1
6550622f,checking TSC synchronization across 2 CPUs: passed.,1
521066c3,checking if image is initramfs... it is,1
28a7542f,device-mapper: 4.4.0-ioctl (2005-01-12) initialised: dm-#16#@#17#,1
88474e9c,divert: allocating divert_blk for <*>,4
4afb1131,divert: not allocating divert_blk for non-ethernet device lo,1
36f26def,drivers/usb/input/hid-core.c: v2.0:USB HID core driver,1
975383bf,e1000: <*> e1000_probe: Intel(R) PRO/1000 Network Connection,2
afd43d7c,e1000: eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex,1
a3a24d09,ehci_hcd 0000:00:1d.7: EHCI Host Controller,1
1baccd5d,"ehci_hcd 0000:00:1d.7: USB 2.0 enabled, EHCI 1.00, driver 2004-May-10",1
d8852692,"ehci_hcd 0000:00:1d.7: irq 193, pci mem ffffff00106dc000",1
